[2020-12-09 17:14:58]	RCC - prev: {"nu":39,"lrn":6,"rev":96}, current: {"nu":39,"lrn":6,"rev":95}
[2020-12-09 17:14:58]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:15:02]	RCC - prev: {"nu":39,"lrn":6,"rev":95}, current: {"nu":38,"lrn":6,"rev":95}
[2020-12-09 17:15:02]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:15:04]	RCC - prev: {"nu":38,"lrn":6,"rev":95}, current: {"nu":38,"lrn":6,"rev":94}
[2020-12-09 17:15:04]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:15:07]	RCC - prev: {"nu":38,"lrn":6,"rev":94}, current: {"nu":38,"lrn":6,"rev":93}
[2020-12-09 17:15:07]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:15:09]	RCC - prev: {"nu":38,"lrn":6,"rev":93}, current: {"nu":37,"lrn":7,"rev":93}
[2020-12-09 17:15:09]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-12-09 17:15:20]	RCC - prev: {"nu":37,"lrn":7,"rev":93}, current: {"nu":37,"lrn":7,"rev":92}
[2020-12-09 17:15:20]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:15:30]	RCC - prev: {"nu":37,"lrn":7,"rev":92}, current: {"nu":37,"lrn":7,"rev":91}
[2020-12-09 17:15:30]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:15:33]	RCC - prev: {"nu":37,"lrn":7,"rev":91}, current: {"nu":36,"lrn":7,"rev":91}
[2020-12-09 17:15:33]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:15:36]	RCC - prev: {"nu":36,"lrn":7,"rev":91}, current: {"nu":36,"lrn":7,"rev":90}
[2020-12-09 17:15:36]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:15:38]	RCC - prev: {"nu":36,"lrn":7,"rev":90}, current: {"nu":36,"lrn":7,"rev":89}
[2020-12-09 17:15:38]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:15:43]	RCC - prev: {"nu":36,"lrn":7,"rev":89}, current: {"nu":35,"lrn":7,"rev":89}
[2020-12-09 17:15:43]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:16:02]	RCC - prev: {"nu":35,"lrn":7,"rev":89}, current: {"nu":35,"lrn":7,"rev":88}
[2020-12-09 17:16:02]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:16:05]	RCC - prev: {"nu":35,"lrn":7,"rev":88}, current: {"nu":35,"lrn":7,"rev":87}
[2020-12-09 17:16:05]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:16:15]	RCC - prev: {"nu":35,"lrn":7,"rev":87}, current: {"nu":34,"lrn":7,"rev":87}
[2020-12-09 17:16:15]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:16:18]	RCC - prev: {"nu":34,"lrn":7,"rev":87}, current: {"nu":34,"lrn":6,"rev":87}
[2020-12-09 17:16:18]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:16:34]	RCC - prev: {"nu":34,"lrn":6,"rev":87}, current: {"nu":34,"lrn":6,"rev":86}
[2020-12-09 17:16:34]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:16:37]	RCC - prev: {"nu":34,"lrn":6,"rev":86}, current: {"nu":33,"lrn":6,"rev":86}
[2020-12-09 17:16:37]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:16:39]	RCC - prev: {"nu":33,"lrn":6,"rev":86}, current: {"nu":9,"lrn":6,"rev":84}
[2020-12-09 17:16:39]	 - Output instruction: {"instType":0}
[2020-12-09 17:16:40]	RCC - prev: {"nu":9,"lrn":6,"rev":84}, current: {"nu":5,"lrn":6,"rev":83}
[2020-12-09 17:16:40]	 - Output instruction: {"instType":0}
[2020-12-09 17:19:01]	RCC - prev: {"nu":5,"lrn":6,"rev":83}, current: {"nu":5,"lrn":7,"rev":82}
[2020-12-09 17:19:01]	 - Output instruction: {"instType":1,"dy":0,"logType":"rev-again"}
[2020-12-09 17:19:49]	RCC - prev: {"nu":5,"lrn":7,"rev":82}, current: {"nu":5,"lrn":7,"rev":82}
[2020-12-09 17:19:49]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 17:19:50]	 - Output instruction: {"instType":3}
[2020-12-09 17:19:52]	RCC - prev: {"nu":5,"lrn":7,"rev":82}, current: {"nu":5,"lrn":6,"rev":82}
[2020-12-09 17:19:52]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:20:46]	RCC - prev: {"nu":5,"lrn":6,"rev":82}, current: {"nu":5,"lrn":12,"rev":82}
[2020-12-09 17:20:46]	 - Output instruction: {"instType":1,"dy":-6,"logType":"again"}
[2020-12-09 17:20:52]	 - Output instruction: {"instType":2}
[2020-12-09 17:20:59]	RCC - prev: {"nu":5,"lrn":12,"rev":82}, current: {"nu":5,"lrn":11,"rev":82}
[2020-12-09 17:20:59]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:21:05]	RCC - prev: {"nu":5,"lrn":11,"rev":82}, current: {"nu":5,"lrn":10,"rev":82}
